"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"wakeup_time_after","eco_support","Numerical–Categorical","Correlation ratio (η)","0.06501012334008831","0.06501012334008831"
"illum_flashlight","cooking_female","Categorical–Categorical","Cramér’s V","0.06492392686113319","0.06492392686113319"
"illum_flashlight","cooking_male","Categorical–Categorical","Cramér’s V","0.06492392686113316","0.06492392686113316"
"sleep_time_after","cooking_freq","Numerical–Categorical","Correlation ratio (η)","0.06473813269071411","0.06473813269071411"
"other_app","tech_problems_USB","Numerical–Categorical","Correlation ratio (η)","0.06450132526227344","0.06450132526227344"
"adults_18_59","phone_1_time","Numerical–Numerical","Pearson","0.06387882355478706","0.06387882355478706"
"fam_head_age","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.06386751878876795","0.06386751878876795"
"adults_18_59","tech_problems_battery","Numerical–Categorical","Correlation ratio (η)","0.06382348461669295","0.06382348461669295"
"phone_1_time","cooking_improved","Numerical–Categorical","Correlation ratio (η)","0.0637709829105342","0.0637709829105342"
"phone_1_time","cooking_rustic","Numerical–Categorical","Correlation ratio (η)","0.0637709829105342","0.0637709829105342"
"fam_members","desired_app_radio","Numerical–Categorical","Correlation ratio (η)","0.06375312526125151","0.06375312526125151"
"fam_members","other_illum","Numerical–Categorical","Correlation ratio (η)","0.06355295567749523","0.06355295567749523"
"children_0_5","phone_3_time","Numerical–Numerical","Pearson","-0.0633363221137023","0.0633363221137023"
"light_bulb_1_time","cooking_biomass","Numerical–Categorical","Correlation ratio (η)","0.06325869423283487","0.06325869423283487"
"adults_mas_60","desired_app_phone","Numerical–Categorical","Correlation ratio (η)","0.06323260843296635","0.06323260843296635"
"sleep_time_before","cooking_fuel_biomass","Numerical–Categorical","Correlation ratio (η)","0.06323260843296612","0.06323260843296612"
"sleep_time_before","tech_problems_PV","Numerical–Categorical","Correlation ratio (η)","0.06323260843296612","0.06323260843296612"
"sleep_time_before","cooking_biomass","Numerical–Categorical","Correlation ratio (η)","0.06322069012008429","0.06322069012008429"
"migration","mat_roof","Categorical–Categorical","Cramér’s V","0.06301087501670145","0.06301087501670145"
"monthly_income","mat_floor","Numerical–Categorical","Correlation ratio (η)","0.06292811769459952","0.06292811769459952"
"other_app","illum_candles","Numerical–Categorical","Correlation ratio (η)","0.06289913568001118","0.06289913568001118"
"phone_2_time","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.06286299385237862","0.06286299385237862"
"light_bulb_2_time","phone_3_time","Numerical–Numerical","Pearson","0.06284138108535692","0.06284138108535692"
"radio_time","illum_burner","Numerical–Categorical","Correlation ratio (η)","0.06257038378245536","0.06257038378245536"
"sleep_time_after","light_3_night","Numerical–Categorical","Correlation ratio (η)","0.06251071949240365","0.06251071949240365"
"adults_18_59","desired_app_radio","Numerical–Categorical","Correlation ratio (η)","0.061989664399534704","0.061989664399534704"
"sleep_time_after","tech_problems_LED","Numerical–Categorical","Correlation ratio (η)","0.061975068300963464","0.061975068300963464"
"illum_candles","mat_roof","Categorical–Categorical","Cramér’s V","0.0618818638969858","0.0618818638969858"
"wo_activity","food_pres_trofa","Numerical–Categorical","Correlation ratio (η)","0.061825019064930986","0.061825019064930986"
"phone_2_time","spring_migration","Numerical–Categorical","Correlation ratio (η)","0.061822504220756115","0.061822504220756115"
"wo_activity","winter_migration","Numerical–Categorical","Correlation ratio (η)","0.061761874304236124","0.061761874304236124"
"wo_activity","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.061761874304236124","0.061761874304236124"
"radio_time","fam_head_gender","Numerical–Categorical","Correlation ratio (η)","0.06163481529892007","0.06163481529892007"
"sleep_time_before","transport_motorcycle","Numerical–Categorical","Correlation ratio (η)","0.06139182458274711","0.06139182458274711"
"fam_members","light_bulb_1_time","Numerical–Numerical","Pearson","0.061369893262719494","0.061369893262719494"
"phone_3_time","tech_problems_LED","Numerical–Categorical","Correlation ratio (η)","0.06126052186757846","0.06126052186757846"
"phone_3_time","energy_saving_measures","Numerical–Categorical","Correlation ratio (η)","0.06126052186757846","0.06126052186757846"
"cooking_time_min_d","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.061227371904527435","0.061227371904527435"
"sleep_time_after","importance_night","Numerical–Categorical","Correlation ratio (η)","0.06114733320192343","0.06114733320192343"
"sleep_time_after","importance_allday","Numerical–Categorical","Correlation ratio (η)","0.06114733320192343","0.06114733320192343"
"sleep_time_before","portability_shs","Numerical–Categorical","Correlation ratio (η)","0.06090017727733212","0.06090017727733212"
"adults_mas_60","portability_shs","Numerical–Categorical","Correlation ratio (η)","0.06090017727733199","0.06090017727733199"
